date;employee_title;employee_status;review_title;pros;cons
2021-10-11;Auditor;Former Employee;Internal Audit in Aramco;"There are a lot of opportunities to learn due to diversified business of the company. IA was one of most professional organization of the company until recent change in top management.
";"The current head of IA who has been leading since 2019 is a complete psychopath. Many extremely talented people (both local and expats) have left because of him and those who are still around are either not good enough to move or praying for miracle. Anyone thinking of joining, please think it over and if possible talk to someone who recently left (there are many) as otherwise you may end up in a very toxic environment.
"
2021-10-10;Marketing;Current Employee, more than 1 year;amazing;"salary and benefits are amazing
";"work hours are too high
"
2021-09-24;Exploration Geologist;Current Employee;Saudi ranch;"Overall nice experiment but wish for more pay
";"Not paying as much as i expected
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Lead Project Engineer;Current Employee;Excellent;"The work is exciting and fun
";"Tough tasks with high pressure
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Procurement;Former Employee, more than 10 years;Was a decent company..;"Initially, the salary and sense of adventure
";"Lack of management skill to deal with a diverse workforce (partially solved when they decided to purge hundreds of westpats in the middle of a pandemic). Overwhelming amount of work and too many bystanders. Erosion of benefits, promotions, and overall quality of life within the “expat” camp. If one is looking for an overseas assignment there are better options elsewhere.
"
2021-09-17;Operations Supervisor;Current Employee, more than 3 years;Involved in Project of commissioning DHT Unit in Jazan;"Building plant from scratch as a project
";"Away from family and friends
"
2021-09-28;IT Engineer;Current Employee, more than 1 year;it;"everything you can handle as
";"talent employees training talent yes i can
"
2021-09-08;SAP Mm Consultant;Former Employee;saudi aramco is best company for work.;;"ltant in Hyderābād
Recommend
CEO Approval
Business Outlook
Pros
Saudi Aramco pays fair salary.
Cons
Saudi Aramco has nothing cons.
1 person found this review helpful
Helpful
Share
Repor"
2021-09-23;Junior Java Developer;Current Employee;Excellent;"Good team work, helping.benfits, understand, easily collebration
";"Nice environment, responsewill be not good,etc
"
2021-09-08;Systems Analyst;Former Employee, more than 10 years;Working Environment;"Job Security, Benefits, Bonuses, Medical
";"Finding a parking lot Traffic Jam
"
2021-09-05;Senior Process Engineer;Current Employee;good;"very good company in the Saudi Arabia
";"To be work in shifts in days and nights
1 person found this review helpful
Helpful
Share
Repor"
2021-09-21;Project Manager;Former Employee;Project manager;"well organized, clear system, effective HR, procedures well written
";"they have systematic way of work
"
