date;employee_title;employee_status;review_title;pros;cons
2021-04-13;Site Manager;Current Employee, more than 1 year;Simplicity, Collaboration, Accountability and Passion;"Safety driven leadership, Benefits, Travel, Opportunity, Support, Incentives...
";"No site in Oregon :) Yet!
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-12;NDT Technician Level II;Former Employee, more than 3 years;Inconsistent Company;"The company provided decent pay for the work being completed and the benefits were more than adequate.
";"The company is in the middle of downsizing the workforce shutting down operations at one plant. Turnover is high causing inconsistent management styles and goals.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-03;Project Manager;Current Employee;Great people, typical company;"I worked with a lot of great people and with some of the best leadership of my 11-year career with Vestas. A challenging industry that keeps you working hard and requires you to consistently be developing unique solutions to tackle the next obstacle.
";"As with any business, they are looking out for themselves. They expect loyalty but offer none in return.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-23;Production Supervisor;Current Employee, more than 10 years;Great place to work;"Enjoy the people and the structure
";"Job security is a question in political years
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-21;Quality Assurance;Current Employee, more than 3 years;Great pay, terrible business.;"Great pay and benifits if you can get hired.
";"Extremely high production demand, and constant monitoring of your job feels like a sweatshop. As well hypocritical management constantly blames employees for factories shortcomings.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-04-10;Logistics Specialist;Former Employee, more than 1 year;Logistics forklift operator would pick up parts from warehouse and deliever to my production line;"Great benefits 401K with same match
";"Supervisors picked and choiced there favorites... Always had you come in mandatory on your days off and would always inform u about it one day priorer of ur weekend didn't have any consideration if you had plans already u didn't show up ur fired... Place is so unorganized
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-14;Human Resources Coordinator;Former Employee;Constantly changing management;;"antly changing management
Jul 14, 2021 - Human Resources Coordinator in Portland, OR
Recommend
CEO Approval
Business Outlook
Pros
good benefits and nice office space
Cons
poor management, had 12 supervisors in 5 years
1 person found this review helpful
Helpful
Share
Repor"
2021-02-21;Repair Technician;Current Employee, more than 5 years;Opportunity for transitions;"Vestas is a huge international energy company with lots of opportunities for those who strive to achieve their professional goals.
";"The dynamics nature of wind energy cause Vestas too continually adapt and change to market demands. This can certainly some uncertain for job security if you are not willing to adapt to those needs.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-09;Welder;Current Employee, more than 1 year;Ok;"Pay is not too bad
";"Everything else Management is bad
1 person found this review helpful
Helpful
Share
Repor"
2021-03-25;Wind Technician;Former Employee, more than 1 year;Great company, lower pay than others with goodbenefits;"Benefits, training, home time, work environment
";"Pay rate, thats all I really have on Cons
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-31;Anonymous;Former Employee;A;"I love the show smell
";"I love the job a lot it was great
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-09;Production Technician;Current Employee;Good company;"Good company to work for, always 40+ hours and management is good. Great benefits
";"Pls are not qualified Not a reliable job, could be laid -off when production is low.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-19;Production;Current Employee, more than 3 years;Not safe;"Pay, benefits, overtime, variety of shifts
";"No upward mobility, odd hours, bad moral
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-09;Team Leader;Current Employee, more than 10 years;Vestas New way of working;"Work life balance Cross culture' Global exposure
";"Job security Frequent organization change Layoff Travel restriction No standard salary for the same position
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-19;Process Engineer;Current Employee;Good;"Good company to work for. Opportunities for growth.
";"They are lowering production output.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-22;Maintenance Technician;Current Employee;Good company if there's work;"Good pay and benefit. Interesting work
";"They need to do a better job of laying off the workforce when sales are down
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-03;Production;Former Employee;Read Before Working here;"They start with high pay.
";"The pay will never go anywhere. You will end up with multiple new tasks and become so stressed. All with no extra pay. You will be micromanaged even for using the restroom. The trick is start high and trick them in the door. Then work to death until they realize what's happening. Worked here for 6 years. Never seen anyone even close to retirement. Only people getting fired constantly along with zero loyalty. They're good at tricking you into believing there's something there though.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-01-18;Assistant Project Manager;Former Employee, more than 1 year;good company to work for.;"Market leader company, offers training and opportunities to climb the career ladder . Line managers are approachable and supportive.
";"Large company, slow response due to internal politics and documentation compared to a smaller company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-27;Engineering Technician;Former Employee, more than 8 years;Not worth the time;"Used to have great benefits and appreciate dedicated employees.
";"Times have changed in the US anyway. Starting pay hasn't improved in the last decade, benefits have fallen off, and contracted factories have been given free reign to out produce company facilities.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-10;Project Manager;Former Employee, more than 1 year;Be careful;"All colleagues are very nice
";"Managers assign unrealistic expectations of tasks with no idea of how to achieve results
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-10;Wind Technician III;Current Employee, more than 3 years;Good pay, Decent Benefits, Corporate;"Decent onboarding pay when I started. Depending on your manager and co-workers can be a good place to work. Safety usually comes first.
";"No pay raise in 2 years. Keeps slashing yearly bonus. Very corporate in culture. A big disconnect between higher-ups and techs.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-20;Lead Technician;Current Employee, more than 3 years;Tons of OT;"Benefits are really good, 401k matching and HSA matching
";"Way to many hours. 70-80 hour weeks
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-02;Production Worker;Former Employee;Decent job but with physical demands;"Awesome group of people to work with
";"Very physically demanding and will wear on you
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-26;Senior Project Manager;Former Employee, more than 5 years;Good company to work for.;"Great coworkers, positive business outlook.
";"Depending on department, no work life balance and minimal career opportunities.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
