date;employee_title;employee_status;review_title;pros;cons
2020-08-27;Drilling and Measurement Field Engineer;Former Employee, more than 5 years;Great Company if You're Flexible;"- Truly Global Company - Opportunity to move all over the world - Incredible co-workers
";"- Management tends to forget where revenue is generated - You can begin to feel like a number or an asset more than a person
"
2020-08-27;Sales Engineer;Former Employee, more than 10 years;Good Company;"Career Progression, Options when O&G is up
";"Still don't get how to focus on employees
"
2020-08-12;FST;Former Employee;FST;"Great people to work with.
";"Long hours of work night and day shift
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-26;Engineer;Former Employee;engineer;"it was an excellent opportunity to learn and grow
";"It's a large company, sometimes you can lose visibility on your goals and objectives
"
2020-09-15;MWD Engineer;Former Employee;MWD Engineer;"This job was great for networking
";"You can be laid off in an instance
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-15;Manager;Former Employee;Terrible;"Good pay Good relocations packages Wages, training Xxxxxxxxxx
";"Micro managed Terrible management Horrible employee retention
"
2020-08-25;MWD Field Specialist;Current Employee, less than 1 year;Full Time Employee;"Promotion opportunities, bonuses, health benefits
";"Work life balance, rough and unprofessional work envirnoments
"
2020-08-10;Senior Procurement Specialist;Current Employee, more than 1 year;Good but volatile;"Great business and great benefits
";"Rollercoaster of an industry. Good times bad times you know I’ve had my share
"
2020-08-08;Field Supervisor;Former Employee, more than 8 years;Good company;"They treat you very good
";"Oil industry is a roller coaster
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-08;Senior Financial Controller;Current Employee, more than 10 years;X;"A good place to work with talented colleagues
";"It is in an industry subject to expansion and contraction.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-08;Mechanical Engineer;Former Employee, less than 1 year;Pros outweigh Cons, but know what you're getting into;outweigh ;" but know what you're getting into
Aug 8, 2020 - Mechanical Engineer in Sugar Land, TX
Recommend
CEO Approval
Business Outlook
Pros
- Dynamic work environment - Dedicated, hardworking coworkers - Lots of training, friendly environment, they want you to learn and be safe above all else - Salary was very good, higher Bottom line: I loved my coworkers and loved the work I did, and that, to me, exceeded the cons of redundant paperwork and excessive meetings. Due to the ease of layoffs, I wouldn't necessarily recommend this job unless you are young and wouldn't be severely impeded by a layoff (as opposed to a parent, or someone looking for more stability, someone mid-career, etc).
Cons
- Too many meetings could have been emails - A lot of redundancy in internal paperwork - Depending on your position and seniority, a lot of people take their work home with them (answering emails off hours, etc). It's not necessary to do so, but many people do. This is more true for manufacturing engineers. - Very quick to lay off BUT they do provide a severance package I would describe as fair to good.
"
2020-08-06;Senior Wireline Engineer;Former Employee, more than 3 years;work hard play hard;"Smart people, good pay, lots of time off
";"hard hours, high stress, very political
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-04;Regulatory Specialist;Former Employee;Regulatory;"The Job & life balance was reasonable
";"no room to grow, unless if you're willing to relocate
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-18;Multiple Positions;Former Employee, more than 8 years;Good Career Start and Training;"Training is outstanding Opportunity to work in remote regions Ability to take on responsibility fast
";"Poor work/life balance Negative sentiment in company will wear you down (folks complaining about SLB) Pay isn’t great Some managers are very weak, but are promoted through cronyism.
"
2020-08-18;Directional Driller;Current Employee, more than 3 years;Good company;"Great pay and benefits package
";"Average 15 hour days and long hours outside
"
2020-08-16;Warehouse Manager;Former Employee, more than 10 years;Good Company but seasonal;"Good work environment, good benefits
";"Not stable. Support workers and not treated the same
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-17;Procurement Specialist;Former Employee;Great for fresh out of college;"Great learning experience for new grads
";"Management doesn't communicate at all
"
2020-08-16;Senior Financial Analyst;Former Employee, more than 5 years;Decent;"Good benefits. Work with many diverse cultures. Travel
";"Very competitive environment. Work-life balance
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-01;Senior Engineer;Former Employee, more than 3 years;Good company;"One of the highest paid employees in USL
";"I have nothing bad to say
"
2020-08-01;Collector;Former Employee, more than 1 year;Good Company;"Schlumberger paid great and offered a lot of different training options.
";"It is an oil and gas company so the con would be that you lose your job when the market falls.
"
2020-08-14;Storekeeper;Former Employee, more than 5 years;Schlumberger;"Benefits, good co-workers, and pay.
";"Training, opportunities to advance were limited, long hours depending on your location. Layoffs when oil prices drop.
"
2020-08-13;Electrical Engineer;Former Employee, more than 10 years;company assessment;"innovation and technology policies and standards
";"live quality principle and people care
Be the first to find this review helpful
Helpful
Share
Repor"
2020-07-29;Engineer;Former Employee, more than 8 years;8 years at Big Blue;"Great experience, learn a ton, some great people to work with.
";"Too much bureaucracy, not very agile.
"
2020-08-12;Field Engineer;Former Employee, more than 1 year;Good First Job;"-Top notch pay coming out of university -The amount of information you need to absorb is challenging but once you do it the job gets easy -If you have a good crew its like hanging out with friends at work everyday -Builds leadership and organization skills
";"-No work-life balance -Long shifts -Some people you encounter are very difficult and an integral part of the team
"
2020-07-27;Completions Field Specialist;Former Employee, more than 1 year;Awesome Company;"Lots of Travelling Great Oilfield Training Management is very understanding and have worked in your shoes You will work with cool technology Co-Workers are genuine
";"Lack of work-life management You will work a lot of hours Pay is not sufficent for the time you will put in
"
2020-08-10;FLM;Former Employee, more than 10 years;Good for first years;"A lot of opportunities to grow up the first 10 years
";"As soon as you get a good position you become target to be lay off
"
2020-08-10;Materials Manager;Former Employee, more than 1 year;Some good - Some bad;"Pretty flexible management. I was able to bring ideas to the table and action. Travel to Texas was cool.
";"Lots of issues with people not getting along. Lots of HR calls. Not the cleanest or nicest work environment. Lots of confusion on certain policies. The computer based training for office employees is overkill.
"
2020-08-27;Field Engineer;Former Employee, more than 1 year;Field Engineer;"Money, Network, Travel, Not much
";"Get treated like slave, No work life balance, You are just a number to SLB
"
2020-07-21;Technical Sales Engineer;Former Employee, more than 10 years;Decent Pay. Lots of hours. Just a number in the big system.;"Pay was fairly good. It is not better than other companies doing the same thing. Great benefits. Company name carried lots of weight.
";"Lots of ""koolaid"" drinkers that just buy into whatever hype is being pushed at the time. Company decisions rarely have any input from employees. Claims to care about employees but that has never truly be seen. Profits are always #1, 2 and 3. Then Technology. Then People, maybe.
"
2020-08-04;Management Accountant;Former Employee;Great experience but no mercy;"Great experience, great co-workers, and great environment
";"Long hours, layoff every 4 years.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-07-20;Sales Manager;Former Employee;Good;"Great company to work for.
";"None for me. Just a lay off
Be the first to find this review helpful
Helpful
Share
Repor"
